lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR
-77,-178,-0.7346736098,58.7072759532,1.2971600831,18.7239513566,362.6110727713,2139.7370085165,2324.3606170512,30.6057405472
-77,-177,-0.7727212997,58.0289043335,1.3062088433,18.9565127265,361.5910516795,2141.3757790468,2323.4221006172,30.1627082825
-77,-176,-0.7656224732,57.48654895,1.3190308892,19.1837424081,360.3829169273,2142.9100282111,2322.2516035297,30.2591638565
-77,-175,-0.8007002532,56.9724448374,1.3322826269,19.3594850791,359.2056432902,2142.3893188757,2321.0535471401,29.7828178406
-77,-174,-0.8769114577,56.4829064818,1.3450336776,19.462035021,358.0863289766,2142.3555878778,2320.0157200123,30.2780351639
-77,-173,-0.9075960884,56.0560106224,1.3574480368,19.4844807609,357.0439042534,2142.8074098422,2319.0916181861,28.9804260731
-77,-172,-0.9405595369,55.6996676685,1.3685362486,19.4244262108,356.0568536429,2143.8443151717,2318.0991504599,27.9093632698
-77,-171,-0.9685746977,55.3808020893,1.3782169507,19.2803924375,355.1027614031,2144.9222893511,2317.1516402439,27.8501737118
-77,-170,-0.9925459109,55.1358525244,1.3864544731,19.0793680598,354.1855704079,2145.5941007912,2316.3657890498,27.685785532
-77,-169,-1.1684940502,58.0830414229,1.496202913,20.2421362284,342.5115251623,2155.6424866783,2315.5738167398,22.6994493008
-77,-168,-1.186719952,58.2661654836,1.4980109486,19.9546858267,341.502809556,2155.8660969038,2314.8256860298,22.7438229084
-77,-167,-1.2071420613,58.5719178364,1.4985871012,19.6357771296,340.6460960878,2156.1119677013,2314.1086582966,23.0157299042
-77,-166,-1.2216890634,58.9246607006,1.4960922801,19.3301276041,339.9671385503,2155.8756749953,2313.2061998618,22.5755507469
-77,-165,-1.2418518175,59.3049278282,1.4910272308,18.9120144988,339.3928184305,2155.7290775937,2312.372320896,21.8709077835
-77,-164,-1.2613482726,59.8659507897,1.4939615708,18.5752480497,338.8515913572,2155.8056235672,2311.659156554,21.9408031464
-77,-163,-1.2710530402,60.5881258651,1.5028477792,18.3766401304,338.4789257081,2155.9425557906,2311.024000123,22.3539132595
-77,-162,-1.1805458333,57.5027387162,1.4186423632,16.1890980848,352.2109462692,2147.9769464551,2310.4562701534,27.1954522133
-77,-161,-1.1982138232,58.3280389465,1.436512535,15.8933332727,353.1643246016,2148.0506806418,2309.6655752438,26.6726310253
-77,-160,-1.2200395285,59.1456959017,1.4529479075,15.7103251414,353.4402434924,2148.3896650934,2308.3920714673,26.7140345573
-77,-36,-1.8561880025,52.1001513753,1.5728371732,22.8971626712,349.9334421526,2141.0794566271,2323.1288771145,17.7203483582
-76,-180,-0.6780626831,61.856625109,1.4528072918,21.0364796257,352.1282867531,2158.5828795714,2323.0159090442,31.5593354702
-76,-179,-0.9590147021,61.703113596,1.5575213311,22.2109126488,344.2472601981,2165.875721867,2321.8709243475,25.7003365994
-76,-178,-1.0034626884,60.2836444562,1.5492085066,22.1297656532,345.4837777795,2162.9034624909,2320.2816382213,26.2286458969
-76,-177,-1.03846447,59.4134018644,1.5531586586,22.192070974,345.4320009907,2161.6730461321,2318.8022235296,26.9122776508
-76,-176,-1.0725065782,58.7776179045,1.5617076743,22.2804827979,344.9059795492,2160.9539047215,2317.2667692446,26.4652496815
-76,-175,-1.1057294531,58.2498065555,1.5711998622,22.3416781555,344.2347135936,2160.1690152739,2315.8069933919,26.5507256985
-76,-174,-1.1371970284,57.7863680509,1.5799053789,22.3495927185,343.5439244837,2159.6741847374,2314.4579131634,25.9794457912
-76,-173,-1.1658380257,57.373340513,1.5870518659,22.2916079422,342.8841270829,2159.1675594116,2313.2718839289,25.4172301769
-76,-172,-1.1921078046,56.9986277215,1.5920689735,22.1627737338,342.2686822569,2158.661932727,2312.1681334714,24.551166153
-76,-171,-1.2157337742,56.6542150593,1.5947615683,21.9650188714,341.6896735953,2158.147204123,2311.1371798393,23.2341545105
-76,-170,-1.2369997716,56.3533150665,1.5950974531,21.7086927065,341.1383593014,2157.7893322169,2310.2632510183,22.3705591679
-76,-169,-1.2563552218,56.1243100677,1.5929871999,21.4011135023,340.610910138,2157.5062112868,2309.463620881,21.1784898281
-76,-168,-1.2738099977,55.9668317312,1.5886313936,21.0500064818,340.1303134238,2157.2876091072,2308.7362806631,19.7880357742
-76,-167,-1.2903686511,55.869159461,1.5825717953,20.6780449085,339.7232280135,2157.1147564509,2308.0588750324,19.4519034863
-76,-166,-1.3065426823,55.8244469266,1.5749035809,20.3088415597,339.3798196009,2156.8801699555,2307.3724115785,20.042646122
-76,-165,-1.3226419798,55.846170659,1.5666098152,19.9313780116,339.0764399773,2156.7252452336,2306.7502723042,20.271126461
-76,-164,-1.3372262685,55.9737762101,1.5609383613,19.6089750752,338.788112672,2156.6485617103,2306.1947107054,21.3963021278
-76,-163,-1.3482128103,56.2158003338,1.5582102166,19.3745817083,338.492097758,2156.5950634959,2305.6741593042,22.2885743141
-76,-162,-1.3641502392,56.570424562,1.5579666308,19.2011451833,338.1142261756,2156.7081598628,2305.1345817683,21.5688641548
-76,-161,-1.3821049154,57.0410414908,1.5623015489,19.1116063331,337.5869324451,2156.9175928874,2304.4140530603,21.1220267296
-76,-160,-1.3162126638,54.1893709727,1.4912300345,17.3890697753,349.5274699035,2151.2257883199,2303.3020224874,24.6170215607
-76,-159,-1.3577243883,54.9971861946,1.51376156,17.6590972088,346.8451006538,2152.203578691,2301.4352810918,26.0363526344
-76,-158,-1.3942513803,56.216578461,1.5310302576,18.032866042,344.1886865247,2152.7759753547,2299.3474886385,26.9726014137
-76,-157,-1.4124351727,57.7534857907,1.5248152631,18.2897017043,344.0696288196,2152.6545966682,2298.1393590215,28.2193574905
-76,-156,-1.4184485988,59.3126109414,1.5082382439,18.5152124997,345.5964184631,2152.1404951509,2297.5420003729,28.5804605484
-76,-155,-1.4230195881,60.9108704089,1.4884509447,19.0213058401,347.795561435,2151.4968548867,2297.1002041566,30.4779133797
-76,-154,-1.4392788696,62.5391026996,1.4668433587,19.6547964174,350.3017432319,2151.5065383798,2296.7303170553,27.4845042229
-76,-153,-1.683629073,67.2445105134,1.5371388196,22.2914414711,322.0003743631,2155.6557888849,2287.6773452256,11.2543677886
-76,-49,-1.6902572949,55.2329195987,1.6763871429,23.477779288,360.8517214764,2162.4864860918,2329.524131276,24.3929052353
-76,-48,-1.7017094299,53.2186119257,1.6348700423,22.9363726514,366.7800519445,2159.4829352569,2330.0704332887,24.3205108643
-76,-47,-1.8763591287,52.9745105066,1.61939464,25.5562278949,362.2471650535,2152.0751191976,2327.7090459908,11.3565044403
-76,-33,-1.7517422697,50.1382387003,1.4531742423,22.3869996811,361.2362594419,2123.204724972,2316.1467363373,16.690785408
-76,-32,-1.7184436741,51.068217938,1.4434157281,22.1024953463,359.9057457086,2119.8263237315,2313.0075557663,15.6448001862
-76,166,-0.7153842368,49.8519735359,1.032681314,13.9980733586,370.6382818567,2121.2369742211,2314.79930272,21.3088445663
-76,167,-0.6603091373,51.5987675715,1.0824995266,14.8686442538,367.9067618416,2129.0152649245,2317.0976867083,18.2466818492
-76,168,-0.6079891685,53.1238416652,1.1231697428,15.6048755852,366.2637377784,2134.4176431695,2318.973901232,17.6926736832
-76,169,-0.5708596439,54.6671844154,1.1604062714,16.2021699478,365.4513469467,2138.6564332573,2320.8402456396,20.6414210002
-76,170,-0.5497534608,56.3122803673,1.1999478324,16.6396173057,364.6603951942,2142.3857121759,2322.3550298335,24.1248760223
-76,171,-0.5260699322,59.9809158468,1.2969809474,17.7180042315,367.6052162688,2145.4839353748,2326.5144228761,33.8331618309
-76,172,-0.5167798374,60.9675581547,1.320345132,18.0086194308,366.4503271456,2147.3239580072,2327.1450438823,34.2474517822
-76,173,-0.5100140977,61.7220845377,1.3393628412,18.3312038526,365.1284390936,2148.9864806359,2327.5981321697,33.6214368343
-76,174,-0.5122307818,62.2932748071,1.3571976402,18.684535845,363.5023354386,2150.6506210962,2327.7201699051,34.231190443
-76,175,-0.5057373231,62.7043269253,1.3751641367,19.0753404429,361.5546586723,2152.2126237052,2327.396127636,33.444845438
-76,176,-0.505464087,62.9597160082,1.3934656247,19.4979837105,359.3662689492,2153.7386626746,2326.8900051574,32.8871514797
-76,177,-0.520659707,63.0644758943,1.4118537361,19.9408158956,357.0517921686,2155.481414493,2326.2198181382,32.9296865463
-76,178,-0.5545466454,63.007973876,1.4298751904,20.3829378265,354.7803227735,2157.3029575658,2325.3495054148,32.7272367477
-76,179,-0.6156583463,62.6844103118,1.4452026034,20.7764578067,352.9247476966,2158.6273070491,2324.3119379269,32.1965448856
-75,-180,-0.983761002,61.3135404303,1.6432919439,23.7478442664,340.2013419192,2171.6776574475,2318.853684665,27.3054478645
-75,-179,-1.0201677073,60.2387380585,1.6487485712,23.8089518968,340.3980285607,2170.1004753285,2317.0977873649,28.0349563599
-75,-178,-1.059519125,59.1677590903,1.6536418925,23.8260294525,340.73527262,2168.2851309159,2315.3021219516,29.3988388062
-75,-177,-1.0991161817,58.2931159833,1.6617691716,23.8569288365,340.7345609604,2166.6600902286,2313.5216644843,30.5815366745
-75,-176,-1.136958598,57.5737238375,1.6714881866,23.8789710384,340.5142333245,2165.2255042899,2311.816399139,30.0385301113
-75,-175,-1.1736458666,56.9585666889,1.6807760025,23.8652078112,340.2160568364,2163.9212272607,2310.2319058365,29.5214334011
-75,-174,-1.2075968628,56.4133693993,1.6881146672,23.795286575,339.9263741211,2162.6892742323,2308.7506144812,26.4312047958
-75,-173,-1.2378364948,55.9178920142,1.69248494,23.6572096652,339.6857484265,2161.5985152575,2307.4431757643,24.5510953903
-75,-172,-1.2643249103,55.4581094483,1.6933618856,23.446733568,339.5105628931,2160.5693220012,2306.2759078843,23.9154127598
-75,-171,-1.2879733863,55.0242880426,1.6905996313,23.1669767694,339.3917216295,2159.6599577173,2305.2685618721,23.6513611317
-75,-170,-1.3082417337,54.6171216062,1.6844557291,22.8273264454,339.3127414507,2158.9138870502,2304.4135944097,22.7851006508
-75,-169,-1.3258113804,54.2233997497,1.6753828173,22.4401147608,339.2748325986,2158.2615110209,2303.6566677364,21.1720880032
-75,-168,-1.340800492,53.8240935073,1.6639033305,22.0198361536,339.2844215537,2157.7724540575,2303.029254075,22.0555194378
-75,-167,-1.3551334606,53.4204162516,1.650779862,21.5856120908,339.3284403989,2157.4158634271,2302.4783693476,22.2069603443
-75,-166,-1.3700225754,53.0432209784,1.6364621887,21.1519306923,339.385012766,2157.1966376896,2302.0094489186,23.2459759235
-75,-165,-1.3985302851,53.126104304,1.5692045609,20.2999092698,342.2782290354,2152.8049343886,2299.8600794151,17.4306054115
-75,-164,-1.4150654503,52.8657081958,1.5485861946,19.9286269696,342.4141400638,2152.6455327413,2299.3488465181,17.7742899656
-75,-163,-1.4306184877,52.7127483847,1.5316501636,19.6622909821,342.3117262388,2152.4670466898,2298.8020485861,18.0531198382
-75,-162,-1.4455414783,52.6833454988,1.5199213495,19.5113695232,341.9072387848,2152.3797357159,2298.2046930774,17.872810781
-75,-161,-1.4619623988,52.8068282011,1.5140058784,19.47947021,341.2272632294,2152.4572626566,2297.5087401155,17.6163806319
-75,-160,-1.4805285005,53.1017084416,1.5142257577,19.5678688511,340.185517145,2152.6735064827,2296.70429949,17.9277792573
-75,-159,-1.5035560616,53.5641855556,1.519822611,19.7607096037,338.7763521195,2152.9124830551,2295.4943805889,18.6780039072
-75,-158,-1.5207932047,54.3382864237,1.5249870262,20.038902427,337.459316104,2152.9395997141,2294.1620428059,18.8634640574
-75,-157,-1.5278879167,55.4250972173,1.5246610383,20.3814418654,336.7559574153,2152.8796875506,2293.2747165626,19.2003067732
-75,-156,-1.5017859305,56.0208962677,1.5780672279,20.9221804301,335.3296685545,2157.0099680699,2295.8392387335,27.0113249302
-75,-155,-1.52837691,57.9218378205,1.5093642904,21.1395350753,337.1782018079,2152.4821995176,2291.9741665545,18.8673875332
-75,-154,-1.514451262,58.1885376975,1.5498040794,21.6087612189,337.2996028301,2156.3640734373,2294.7388384898,25.0720322609
-75,-153,-1.523269638,59.1749611343,1.5303242351,21.8605104222,338.639582789,2156.4154778956,2294.1359440202,22.6396649361
-75,-152,-1.5351437064,59.8570196623,1.5046183486,22.0961563695,340.1980042693,2156.404931432,2293.0564285756,20.0979721785
-75,-151,-1.5696509209,61.3969989103,1.4263150066,22.8741915002,340.8703250798,2154.3624351387,2287.3650020739,15.804035157
-75,-150,-1.5950550314,60.9596796284,1.3817893256,23.0494557648,344.3900858894,2154.8068976824,2285.3749944944,15.7992873192
-75,-149,-1.6495311844,58.0889954768,1.3899232956,23.4510877456,337.6675767364,2148.9219863839,2279.310360208,9.8868253628
-75,-55,-1.4399703728,72.94406444,2.2302508771,29.5787206186,316.1717363876,2191.1464830092,2332.5609305811,23.0984061559
-75,-54,-1.5418824621,71.1829228465,2.1436799521,28.8669697428,320.2011777364,2189.2922646109,2331.8920480247,22.7527929942
-75,-53,-1.6232971172,68.8492271924,2.0609572841,28.1141514529,325.0074724831,2187.2280615296,2331.3968402103,22.3684542974
-75,-52,-1.6846823033,66.0715389386,1.9780348626,27.3540761968,331.0004073552,2185.0690340144,2331.2529267926,21.3265482585
-75,-44,-1.8745068814,58.2342699639,1.8386774446,26.2654639374,352.9274532902,2160.7519482562,2327.9102994678,9.3973703384
-75,-43,-1.8312810875,53.1003509418,1.7086130397,24.4846469923,357.0085652227,2150.4738195758,2324.7572338895,12.8973703384
-75,-42,-1.7711255942,48.4888649271,1.5809747327,22.735404303,361.205685809,2140.3292245613,2322.3940518904,13.431391716
-75,-41,-1.7506981211,47.8917110602,1.5627942315,22.4133700946,361.5119051198,2137.4238816529,2321.7199828774,16.1135139465
-75,-33,-1.6963680756,50.6840333779,1.4585997221,22.2659255541,359.5473861362,2125.5062630133,2313.3736135373,15.7806515694
-75,-32,-1.6668431347,51.7644078547,1.4420372096,21.8067762419,357.2932419735,2124.9268843235,2310.6164859343,15.2656054497
-75,-31,-1.6326343981,52.524341494,1.4107016819,20.8194659174,352.5162182623,2125.9245501696,2306.5106130826,16.0834059715
-75,-30,-1.4291844935,53.7075177896,1.2865092097,17.2740841155,347.258642422,2133.024327138,2306.0643266677,22.6960248947
-75,-29,-1.3731357142,55.1651654072,1.2765668658,16.5833410109,344.879452029,2133.8661499407,2303.6006320038,21.8577404022
-75,-28,-1.3123262097,56.4024861449,1.282927551,16.3046007623,345.3954816178,2132.9336494745,2301.7620210012,23.4403705597
-75,168,-0.5668195344,52.1478447441,1.1080916194,18.0941199295,365.4817548475,2136.2474388555,2318.1747694057,23.941163063
